classification,country,risk_class,implanted,distributed_to,manufacturer_id,name,description,device_id,name_length,description_length,target
Diagnostic Devices,India,2,Yes,Clinics,5,Device 307,Medical equipment,308,10,17,1
Diagnostic Devices,USA,3,Yes,Hospitals,2,Device 308,Medical equipment,309,10,17,0
Cardiovascular Devices,India,2,No,Hospitals,6,Device 309,Medical equipment,310,10,17,1
Cardiovascular Devices,USA,2,Yes,Clinics,15,Device 310,Medical equipment,311,10,17,1
Diagnostic Devices,India,1,Yes,Clinics,10,Device 311,Medical equipment,312,10,17,0
Diagnostic Devices,India,3,Yes,Clinics,7,Device 312,Medical equipment,313,10,17,1
Respiratory Devices,UK,3,Yes,Clinics,5,Device 313,Medical equipment,314,10,17,0
Diagnostic Devices,USA,2,Yes,Hospitals,1,Device 314,Medical equipment,315,10,17,0
Respiratory Devices,USA,3,Yes,Hospitals,13,Device 315,Medical equipment,316,10,17,1
Respiratory Devices,UK,1,No,Hospitals,18,Device 316,Medical equipment,317,10,17,1
Respiratory Devices,UK,1,No,Hospitals,13,Device 317,Medical equipment,318,10,17,0
Respiratory Devices,UK,1,Yes,Hospitals,18,Device 318,Medical equipment,319,10,17,0
Respiratory Devices,UK,3,Yes,Clinics,5,Device 319,Medical equipment,320,10,17,1
Cardiovascular Devices,USA,3,No,Hospitals,13,Device 320,Medical equipment,321,10,17,1
Diagnostic Devices,USA,3,No,Hospitals,4,Device 321,Medical equipment,322,10,17,0
Respiratory Devices,India,3,Yes,Hospitals,17,Device 322,Medical equipment,323,10,17,0
Diagnostic Devices,India,3,Yes,Clinics,3,Device 323,Medical equipment,324,10,17,1
Diagnostic Devices,UK,1,Yes,Clinics,17,Device 324,Medical equipment,325,10,17,1
Respiratory Devices,UK,2,Yes,Clinics,11,Device 325,Medical equipment,326,10,17,0
Cardiovascular Devices,UK,1,No,Clinics,4,Device 326,Medical equipment,327,10,17,0
Respiratory Devices,India,3,Yes,Hospitals,2,Device 327,Medical equipment,328,10,17,0
Cardiovascular Devices,India,1,Yes,Hospitals,16,Device 328,Medical equipment,329,10,17,0
Diagnostic Devices,India,3,Yes,Clinics,18,Device 329,Medical equipment,330,10,17,0
Cardiovascular Devices,India,3,Yes,Clinics,8,Device 330,Medical equipment,331,10,17,1
Cardiovascular Devices,India,1,No,Hospitals,3,Device 331,Medical equipment,332,10,17,1
Cardiovascular Devices,India,3,No,Hospitals,9,Device 332,Medical equipment,333,10,17,0
Diagnostic Devices,India,2,No,Clinics,6,Device 333,Medical equipment,334,10,17,0
Diagnostic Devices,UK,3,Yes,Clinics,10,Device 334,Medical equipment,335,10,17,1
Cardiovascular Devices,UK,2,Yes,Clinics,10,Device 335,Medical equipment,336,10,17,0
Cardiovascular Devices,UK,2,No,Clinics,13,Device 336,Medical equipment,337,10,17,1
Respiratory Devices,UK,3,Yes,Hospitals,17,Device 337,Medical equipment,338,10,17,0
Cardiovascular Devices,India,1,Yes,Hospitals,9,Device 338,Medical equipment,339,10,17,0
Respiratory Devices,USA,2,No,Hospitals,17,Device 339,Medical equipment,340,10,17,1
Cardiovascular Devices,India,1,No,Clinics,9,Device 340,Medical equipment,341,10,17,1
Respiratory Devices,USA,2,No,Clinics,9,Device 341,Medical equipment,342,10,17,0
Diagnostic Devices,UK,3,No,Hospitals,1,Device 342,Medical equipment,343,10,17,0
Cardiovascular Devices,India,3,Yes,Hospitals,2,Device 343,Medical equipment,344,10,17,1
Cardiovascular Devices,UK,2,Yes,Hospitals,16,Device 344,Medical equipment,345,10,17,1
Cardiovascular Devices,India,3,No,Hospitals,1,Device 345,Medical equipment,346,10,17,0
Cardiovascular Devices,UK,2,Yes,Clinics,10,Device 346,Medical equipment,347,10,17,0
Respiratory Devices,USA,3,No,Hospitals,18,Device 347,Medical equipment,348,10,17,0
Cardiovascular Devices,USA,1,No,Hospitals,8,Device 348,Medical equipment,349,10,17,1
Diagnostic Devices,USA,3,Yes,Hospitals,11,Device 349,Medical equipment,350,10,17,1
Diagnostic Devices,India,1,No,Hospitals,2,Device 350,Medical equipment,351,10,17,0
Cardiovascular Devices,USA,3,Yes,Hospitals,8,Device 351,Medical equipment,352,10,17,0
Diagnostic Devices,India,1,Yes,Hospitals,8,Device 352,Medical equipment,353,10,17,0
Cardiovascular Devices,USA,3,Yes,Hospitals,17,Device 353,Medical equipment,354,10,17,0
Cardiovascular Devices,USA,1,Yes,Clinics,15,Device 354,Medical equipment,355,10,17,0
Diagnostic Devices,India,2,No,Clinics,17,Device 355,Medical equipment,356,10,17,0
Cardiovascular Devices,India,2,Yes,Clinics,13,Device 356,Medical equipment,357,10,17,1
Diagnostic Devices,USA,1,No,Clinics,19,Device 357,Medical equipment,358,10,17,0
Respiratory Devices,India,3,No,Hospitals,5,Device 358,Medical equipment,359,10,17,0
Cardiovascular Devices,USA,1,No,Clinics,12,Device 359,Medical equipment,360,10,17,0
Respiratory Devices,India,3,No,Clinics,1,Device 360,Medical equipment,361,10,17,0
Diagnostic Devices,UK,2,Yes,Hospitals,5,Device 361,Medical equipment,362,10,17,0
Respiratory Devices,UK,3,Yes,Hospitals,8,Device 362,Medical equipment,363,10,17,0
Respiratory Devices,UK,2,No,Clinics,13,Device 363,Medical equipment,364,10,17,1
Diagnostic Devices,UK,3,No,Clinics,8,Device 364,Medical equipment,365,10,17,1
Respiratory Devices,UK,3,Yes,Hospitals,11,Device 365,Medical equipment,366,10,17,1
Respiratory Devices,USA,3,No,Clinics,1,Device 366,Medical equipment,367,10,17,0
Diagnostic Devices,UK,1,Yes,Hospitals,13,Device 367,Medical equipment,368,10,17,0
Respiratory Devices,UK,1,No,Hospitals,19,Device 368,Medical equipment,369,10,17,1
Diagnostic Devices,UK,2,Yes,Hospitals,3,Device 369,Medical equipment,370,10,17,0
Respiratory Devices,UK,2,No,Hospitals,17,Device 370,Medical equipment,371,10,17,1
Diagnostic Devices,India,1,No,Clinics,5,Device 371,Medical equipment,372,10,17,0
Diagnostic Devices,USA,2,Yes,Hospitals,8,Device 372,Medical equipment,373,10,17,0
Respiratory Devices,UK,1,No,Hospitals,14,Device 373,Medical equipment,374,10,17,0
Respiratory Devices,UK,3,No,Clinics,4,Device 374,Medical equipment,375,10,17,0
Respiratory Devices,UK,2,Yes,Hospitals,11,Device 375,Medical equipment,376,10,17,1
Cardiovascular Devices,USA,2,No,Clinics,15,Device 376,Medical equipment,377,10,17,0
Cardiovascular Devices,India,1,Yes,Clinics,19,Device 377,Medical equipment,378,10,17,1
Cardiovascular Devices,USA,2,Yes,Clinics,7,Device 378,Medical equipment,379,10,17,0
Diagnostic Devices,India,2,No,Hospitals,19,Device 379,Medical equipment,380,10,17,1
Respiratory Devices,UK,3,No,Clinics,19,Device 380,Medical equipment,381,10,17,0
Diagnostic Devices,UK,2,No,Clinics,11,Device 381,Medical equipment,382,10,17,0
Cardiovascular Devices,USA,3,No,Hospitals,5,Device 382,Medical equipment,383,10,17,1
Respiratory Devices,USA,1,No,Clinics,5,Device 383,Medical equipment,384,10,17,1
Diagnostic Devices,India,2,No,Clinics,8,Device 384,Medical equipment,385,10,17,0
Respiratory Devices,India,3,No,Clinics,10,Device 385,Medical equipment,386,10,17,0
Diagnostic Devices,USA,1,Yes,Clinics,6,Device 386,Medical equipment,387,10,17,1
Respiratory Devices,India,2,No,Clinics,15,Device 387,Medical equipment,388,10,17,0
Cardiovascular Devices,USA,1,Yes,Hospitals,16,Device 388,Medical equipment,389,10,17,0
Cardiovascular Devices,India,2,No,Clinics,17,Device 389,Medical equipment,390,10,17,0
Respiratory Devices,USA,1,No,Clinics,8,Device 390,Medical equipment,391,10,17,1
Diagnostic Devices,USA,1,Yes,Hospitals,8,Device 391,Medical equipment,392,10,17,0
Cardiovascular Devices,USA,3,No,Hospitals,9,Device 392,Medical equipment,393,10,17,1
Cardiovascular Devices,India,1,No,Hospitals,2,Device 393,Medical equipment,394,10,17,0
Cardiovascular Devices,India,2,Yes,Clinics,15,Device 394,Medical equipment,395,10,17,1
Respiratory Devices,India,2,No,Hospitals,18,Device 395,Medical equipment,396,10,17,0
Respiratory Devices,USA,3,No,Clinics,3,Device 396,Medical equipment,397,10,17,0
Diagnostic Devices,India,2,No,Clinics,17,Device 397,Medical equipment,398,10,17,0
Diagnostic Devices,India,2,Yes,Hospitals,4,Device 398,Medical equipment,399,10,17,0
Diagnostic Devices,USA,2,No,Hospitals,4,Device 399,Medical equipment,400,10,17,1
Respiratory Devices,UK,1,No,Clinics,14,Device 400,Medical equipment,401,10,17,0
Respiratory Devices,USA,1,No,Hospitals,9,Device 401,Medical equipment,402,10,17,0
Diagnostic Devices,India,2,No,Clinics,9,Device 402,Medical equipment,403,10,17,1
Diagnostic Devices,USA,3,Yes,Hospitals,18,Device 403,Medical equipment,404,10,17,0
Respiratory Devices,UK,1,Yes,Hospitals,10,Device 404,Medical equipment,405,10,17,0
Diagnostic Devices,USA,3,No,Hospitals,4,Device 405,Medical equipment,406,10,17,0
Cardiovascular Devices,India,2,No,Clinics,12,Device 406,Medical equipment,407,10,17,0
Respiratory Devices,UK,2,Yes,Hospitals,8,Device 407,Medical equipment,408,10,17,0
Diagnostic Devices,India,1,Yes,Clinics,2,Device 408,Medical equipment,409,10,17,0
Respiratory Devices,UK,2,No,Clinics,13,Device 409,Medical equipment,410,10,17,0
Cardiovascular Devices,UK,1,Yes,Clinics,16,Device 410,Medical equipment,411,10,17,0
Respiratory Devices,USA,2,No,Clinics,2,Device 411,Medical equipment,412,10,17,0
Respiratory Devices,USA,2,Yes,Hospitals,11,Device 412,Medical equipment,413,10,17,0
Respiratory Devices,India,1,Yes,Clinics,10,Device 413,Medical equipment,414,10,17,0
Respiratory Devices,USA,1,Yes,Clinics,15,Device 414,Medical equipment,415,10,17,1
Cardiovascular Devices,USA,1,Yes,Hospitals,17,Device 415,Medical equipment,416,10,17,0
Respiratory Devices,UK,2,No,Clinics,8,Device 416,Medical equipment,417,10,17,1
Respiratory Devices,USA,2,Yes,Hospitals,18,Device 417,Medical equipment,418,10,17,1
Diagnostic Devices,UK,3,Yes,Clinics,9,Device 418,Medical equipment,419,10,17,1
Respiratory Devices,UK,1,No,Hospitals,8,Device 419,Medical equipment,420,10,17,0
Diagnostic Devices,UK,2,Yes,Clinics,14,Device 420,Medical equipment,421,10,17,0
Cardiovascular Devices,India,2,Yes,Hospitals,18,Device 421,Medical equipment,422,10,17,1
Cardiovascular Devices,India,1,No,Clinics,12,Device 422,Medical equipment,423,10,17,1
Cardiovascular Devices,India,3,Yes,Clinics,19,Device 423,Medical equipment,424,10,17,1
Cardiovascular Devices,UK,1,No,Hospitals,14,Device 424,Medical equipment,425,10,17,1
Diagnostic Devices,India,3,No,Hospitals,17,Device 425,Medical equipment,426,10,17,1
Respiratory Devices,India,2,No,Hospitals,3,Device 426,Medical equipment,427,10,17,0
Cardiovascular Devices,USA,3,No,Hospitals,7,Device 427,Medical equipment,428,10,17,0
Respiratory Devices,India,2,Yes,Clinics,17,Device 428,Medical equipment,429,10,17,0
Diagnostic Devices,India,1,No,Clinics,12,Device 429,Medical equipment,430,10,17,0
Diagnostic Devices,UK,1,Yes,Hospitals,9,Device 430,Medical equipment,431,10,17,1
Diagnostic Devices,UK,1,Yes,Clinics,15,Device 431,Medical equipment,432,10,17,1
Cardiovascular Devices,UK,3,Yes,Hospitals,18,Device 432,Medical equipment,433,10,17,0
Respiratory Devices,UK,2,Yes,Hospitals,13,Device 433,Medical equipment,434,10,17,0
Respiratory Devices,UK,1,Yes,Clinics,8,Device 434,Medical equipment,435,10,17,0
Respiratory Devices,UK,1,Yes,Clinics,14,Device 435,Medical equipment,436,10,17,1
Diagnostic Devices,India,2,Yes,Clinics,8,Device 436,Medical equipment,437,10,17,0
Cardiovascular Devices,UK,1,Yes,Clinics,14,Device 437,Medical equipment,438,10,17,1
Diagnostic Devices,UK,2,Yes,Clinics,7,Device 438,Medical equipment,439,10,17,0
Diagnostic Devices,USA,2,Yes,Clinics,12,Device 439,Medical equipment,440,10,17,1
Respiratory Devices,India,2,No,Clinics,11,Device 440,Medical equipment,441,10,17,1
Diagnostic Devices,India,2,No,Hospitals,11,Device 441,Medical equipment,442,10,17,1
Respiratory Devices,India,2,No,Hospitals,13,Device 442,Medical equipment,443,10,17,1
Cardiovascular Devices,UK,3,Yes,Hospitals,18,Device 443,Medical equipment,444,10,17,0
Respiratory Devices,UK,1,No,Hospitals,2,Device 444,Medical equipment,445,10,17,0
Cardiovascular Devices,UK,3,No,Hospitals,15,Device 445,Medical equipment,446,10,17,0
Respiratory Devices,USA,1,No,Clinics,18,Device 446,Medical equipment,447,10,17,1
Diagnostic Devices,UK,3,Yes,Hospitals,15,Device 447,Medical equipment,448,10,17,0
Diagnostic Devices,USA,2,Yes,Hospitals,19,Device 448,Medical equipment,449,10,17,1
Cardiovascular Devices,India,1,Yes,Hospitals,12,Device 449,Medical equipment,450,10,17,1
Cardiovascular Devices,UK,1,Yes,Hospitals,13,Device 450,Medical equipment,451,10,17,0
Cardiovascular Devices,USA,3,No,Hospitals,11,Device 451,Medical equipment,452,10,17,0
Respiratory Devices,USA,3,No,Hospitals,5,Device 452,Medical equipment,453,10,17,0
Respiratory Devices,UK,1,No,Hospitals,1,Device 453,Medical equipment,454,10,17,0
Cardiovascular Devices,India,3,No,Clinics,3,Device 454,Medical equipment,455,10,17,0
Diagnostic Devices,India,3,Yes,Clinics,19,Device 455,Medical equipment,456,10,17,1
Respiratory Devices,India,3,Yes,Hospitals,7,Device 456,Medical equipment,457,10,17,0
Respiratory Devices,USA,2,Yes,Clinics,12,Device 457,Medical equipment,458,10,17,0
Respiratory Devices,USA,2,No,Clinics,15,Device 458,Medical equipment,459,10,17,0
Cardiovascular Devices,USA,3,Yes,Clinics,5,Device 459,Medical equipment,460,10,17,0
Cardiovascular Devices,USA,3,Yes,Clinics,15,Device 460,Medical equipment,461,10,17,1
Cardiovascular Devices,India,2,No,Hospitals,8,Device 461,Medical equipment,462,10,17,0
Cardiovascular Devices,UK,2,No,Clinics,10,Device 462,Medical equipment,463,10,17,0
Cardiovascular Devices,USA,1,Yes,Clinics,16,Device 463,Medical equipment,464,10,17,0
Diagnostic Devices,USA,1,Yes,Clinics,8,Device 464,Medical equipment,465,10,17,1
Diagnostic Devices,India,2,Yes,Hospitals,1,Device 465,Medical equipment,466,10,17,1
Cardiovascular Devices,UK,3,Yes,Hospitals,12,Device 466,Medical equipment,467,10,17,0
Respiratory Devices,UK,3,Yes,Hospitals,5,Device 467,Medical equipment,468,10,17,0
Cardiovascular Devices,India,3,Yes,Hospitals,3,Device 468,Medical equipment,469,10,17,0
Diagnostic Devices,India,3,No,Hospitals,1,Device 469,Medical equipment,470,10,17,1
Diagnostic Devices,UK,1,No,Hospitals,4,Device 470,Medical equipment,471,10,17,0
Respiratory Devices,USA,2,No,Hospitals,8,Device 471,Medical equipment,472,10,17,1
Diagnostic Devices,UK,3,Yes,Clinics,3,Device 472,Medical equipment,473,10,17,1
Cardiovascular Devices,India,1,No,Clinics,10,Device 473,Medical equipment,474,10,17,0
Respiratory Devices,USA,3,Yes,Clinics,2,Device 474,Medical equipment,475,10,17,0
Cardiovascular Devices,USA,2,Yes,Hospitals,11,Device 475,Medical equipment,476,10,17,1
Cardiovascular Devices,India,1,No,Hospitals,10,Device 476,Medical equipment,477,10,17,1
Respiratory Devices,India,2,Yes,Hospitals,14,Device 477,Medical equipment,478,10,17,0
Cardiovascular Devices,India,2,Yes,Hospitals,7,Device 478,Medical equipment,479,10,17,1
Diagnostic Devices,UK,1,No,Hospitals,2,Device 479,Medical equipment,480,10,17,1
Cardiovascular Devices,UK,1,No,Clinics,9,Device 480,Medical equipment,481,10,17,0
Respiratory Devices,USA,1,No,Clinics,16,Device 481,Medical equipment,482,10,17,0
Respiratory Devices,India,1,Yes,Hospitals,13,Device 482,Medical equipment,483,10,17,0
Respiratory Devices,USA,1,No,Hospitals,9,Device 483,Medical equipment,484,10,17,0
Cardiovascular Devices,USA,1,No,Hospitals,4,Device 484,Medical equipment,485,10,17,0
Respiratory Devices,USA,1,Yes,Hospitals,10,Device 485,Medical equipment,486,10,17,1
Respiratory Devices,USA,3,No,Clinics,12,Device 486,Medical equipment,487,10,17,0
Cardiovascular Devices,India,2,No,Hospitals,17,Device 487,Medical equipment,488,10,17,0
Diagnostic Devices,USA,1,No,Hospitals,14,Device 488,Medical equipment,489,10,17,0
Cardiovascular Devices,India,3,Yes,Hospitals,14,Device 489,Medical equipment,490,10,17,0
Respiratory Devices,India,3,Yes,Hospitals,2,Device 490,Medical equipment,491,10,17,0
Respiratory Devices,UK,3,Yes,Clinics,11,Device 491,Medical equipment,492,10,17,0
Cardiovascular Devices,India,2,Yes,Hospitals,16,Device 492,Medical equipment,493,10,17,0
Diagnostic Devices,UK,1,No,Hospitals,19,Device 493,Medical equipment,494,10,17,1
Respiratory Devices,India,3,Yes,Clinics,6,Device 494,Medical equipment,495,10,17,0
Respiratory Devices,India,2,Yes,Clinics,19,Device 495,Medical equipment,496,10,17,0
Respiratory Devices,India,2,No,Clinics,5,Device 496,Medical equipment,497,10,17,0
Cardiovascular Devices,UK,2,No,Hospitals,4,Device 497,Medical equipment,498,10,17,0
Respiratory Devices,UK,3,No,Hospitals,15,Device 498,Medical equipment,499,10,17,1
Diagnostic Devices,USA,1,Yes,Clinics,4,Device 499,Medical equipment,500,10,17,1
